sensor_id,timestamp,temperature,humidity,location
SENS-001,2024-01-01T01:15:00,26.9,52.0,Warehouse-A
SENS-002,2024-01-01T01:15:00,32.2,65.2,Warehouse-B
SENS-003,2024-01-01T01:15:00,23.0,45.2,Office-1
SENS-004,2024-01-01T01:15:00,36.6,76.0,Server-Room
SENS-005,2024-01-01T01:15:00,28.7,48.0,Warehouse-A
SENS-001,2024-01-01T01:20:00,25.6,52.5,Warehouse-A
SENS-002,2024-01-01T01:20:00,30.9,64.7,Warehouse-B
SENS-003,2024-01-01T01:20:00,21.7,45.8,Office-1
SENS-004,2024-01-01T01:20:00,35.3,75.5,Server-Room
SENS-005,2024-01-01T01:20:00,27.4,48.6,Warehouse-A
SENS-001,2024-01-01T01:25:00,24.3,53.0,Warehouse-A
SENS-002,2024-01-01T01:25:00,29.6,64.2,Warehouse-B
SENS-003,2024-01-01T01:25:00,20.4,46.4,Office-1
SENS-004,2024-01-01T01:25:00,34.0,75.0,Server-Room
SENS-005,2024-01-01T01:25:00,26.1,49.2,Warehouse-A
SENS-001,2024-01-01T01:30:00,23.0,53.5,Warehouse-A
SENS-002,2024-01-01T01:30:00,28.3,63.7,Warehouse-B
SENS-003,2024-01-01T01:30:00,19.1,47.0,Office-1
SENS-004,2024-01-01T01:30:00,32.7,74.5,Server-Room
SENS-005,2024-01-01T01:30:00,24.8,49.8,Warehouse-A
SENS-001,2024-01-01T01:35:00,21.7,54.0,Warehouse-A
SENS-002,2024-01-01T01:35:00,27.0,63.2,Warehouse-B
SENS-003,2024-01-01T01:35:00,18.5,47.6,Office-1
SENS-004,2024-01-01T01:35:00,31.4,74.0,Server-Room
SENS-005,2024-01-01T01:35:00,23.5,50.4,Warehouse-A
SENS-001,2024-01-01T01:40:00,20.9,54.5,Warehouse-A
SENS-002,2024-01-01T01:40:00,26.2,62.7,Warehouse-B
SENS-003,2024-01-01T01:40:00,18.1,48.2,Office-1
SENS-004,2024-01-01T01:40:00,30.6,73.5,Server-Room
SENS-005,2024-01-01T01:40:00,22.7,51.0,Warehouse-A
SENS-001,2024-01-01T01:45:00,20.3,55.0,Warehouse-A
SENS-002,2024-01-01T01:45:00,25.6,62.2,Warehouse-B
SENS-003,2024-01-01T01:45:00,17.9,48.8,Office-1
SENS-004,2024-01-01T01:45:00,30.0,73.0,Server-Room
SENS-005,2024-01-01T01:45:00,22.1,51.6,Warehouse-A
